,,,,,
Word,Pronunciation,Mean_A,Nghĩa tiếng Việt,ExampleSentence,TopicId
Customer (n) ,ˈkʌstəmər,a person who purchases goods or services,khách hàng,Satisfied customers are more likely to return for future purchases.,102
Currency (n),ˈkɜːrənsi,the money used in a particular country,tiền tệ,The exchange rate determines the value of one currency against another.,102
Debt (n),dɛt,an obligation to repay money,nợ,The company is struggling to repay its debts.,102
Deficit (n),ˈdɛfɪsɪt,the amount by which expenses exceed income,thâm hụt,The government is trying to reduce the budget deficit.,102
Demand (n/v),dɪˈmænd,the desire for goods or services,nhu cầu,There is a high demand for the new product.,102
Deposit (n),dɪˈpɒzɪt,a sum of money placed in a bank account,tiền gửi,He made a deposit of $100 into his savings account.,102
Dividend (n),ˈdɪvɪˌdɛnd,a payment of profits to shareholders,cổ tức,The company declared a dividend to its investors.,102
Drawback (n),ˈdrɔˌbæk,a disadvantage or inconvenience,hạn chế,The main drawback of the new system is its high cost.,102
Duplicate (n/v/adj),ˈduːplɪkət,an identical copy or replica,bản sao,Please provide a duplicate of the receipt for our records.,102
Duration (n),djʊˈreɪʃən,the length of time something lasts,thời gian,The course has a duration of six months.,102
Earnings (n),ˈɜːrnɪŋz,money received from work or investments,thu nhập,The company reported higher earnings this quarter.,102
Economy (n),ɪˈkɒnəmi,"the system of production, distribution, and consumption of goods and services",kinh tế,The country's economy is growing at a steady rate.,102
Employ (v),ɪmˈplɔɪ,to hire or engage the services of someone,tuyển dụng,The company plans to employ new staff members.,102
Entrepreneur (n),ˌɒntrəprəˈnɜːr,a person who starts and operates a business,doanh nhân,The entrepreneur founded a successful startup company.,102
Expansion (n),ɪkˈspænʃən,the act of becoming larger or more extensive,"mở rộng, mở chi nhánh",The company is considering an expansion into new markets.,102
Export (n/v),ˈekspɔːt,to send goods or services to another country for sale,xuất khẩu,The country's main export is agricultural products.,102
Enterprise (n),ˈentəpraɪz,"a project or undertaking, typically involving risk",doanh nghiệp,The family business has grown into a successful enterprise.,102
Equity (n),ˈekwəti,the value of a business or property after debts are subtracted,vốn chủ sở hữu,The company raised additional equity to fund its expansion.,102
Finance (n),ˈfaɪnæns,management of money,tài chính,The company hired a finance expert to handle its financial matters.,102
Forecast (n/v),ˈfɔːrˌkæst,a prediction of future events,dự báo,The economic forecast suggests a slowdown in growth for the next quarter.,102
Fraud (n),frɔːd,dishonest or illegal behavior,gian lận,The company discovered a case of fraud in its financial records.,102
Funding (n),ˈfʌndɪŋ,financial support or resources,nguồn vốn,The project received additional funding from a venture capital firm.,102
Fluctuate (v),ˈflʌktʃueɪt,to change irregularly,biến động,The prices of the stock market often fluctuate based on market conditions.,102
Franchise (n),ˈfræntʃaɪz,a business arrangement,nhượng quyền,They purchased a franchise of a well-known fast-food restaurant.,102
Function (n/v),ˈfʌŋkʃən,role or purpose,chức năng,The function of this software is to automate repetitive tasks.,102
Global (adj),ˈɡloʊbl,worldwide or international,"toàn cầu, quốc tế",The company has a global presence with offices in multiple countries.,102
Goods (n),ɡʊdz,tangible products or merchandise,hàng hóa,The store offers a wide range of consumer goods.,102
Growth (n),ɡroʊθ,the process of increasing or expanding,sự phát triển,The company experienced significant growth in its sales last year.,102
Guarantee (n/v),ˌɡærənˈtiː,a promise or assurance of quality,"bảo hành, đảm bảo",The product comes with a 2-year guarantee against defects.,102
Generate (v),ˈdʒenəˌreɪt,to produce or create,"tạo ra, sản xuất",The new marketing campaign is expected to generate more leads.,102
Goal (n),ɡoʊl,an objective or target,mục tiêu,The company's primary goal is to expand its market share.,102
Hierarchy (n),ˈhaɪərɑːrki,a system of ranking individuals or groups,hệ thống cấp bậc,"In the corporate hierarchy, the CEO is at the top level.",102
Hire (v),ˈhaɪər,to employ or engage someone for work,"thuê, tuyển dụng",The company plans to hire new employees for the project.,102
human resources (n),ˌhjuːmən ˈrɛsɔːrsɪz,personnel management or workforce,nhân sự,The human resources department handles employee recruitment.,102
Income (n),ˈɪnkʌm,money earned from various sources,thu nhập,The company reported an increase in its annual income.,102
Inflation (n),ɪnˈfleɪʃən,a general increase in prices,lạm phát,Inflation can affect the purchasing power of consumers.,102
Innovation (n),ˌɪnəˈveɪʃən,the introduction of new ideas or methods,sáng tạo,The company encourages innovation and creativity among its employees.,102
Insurance (n),ɪnˈʃʊrəns,a contract for financial protection against risk,bảo hiểm,The company provides health insurance for its employees.,102
Investment (n),ɪnˈvɛstmənt,putting money into a business or project,đầu tư,The company plans to make a significant investment in research and development.,102
joint venture (n),dʒɔɪnt ˈventʃər,a business partnership between two or more companies,liên doanh,The two companies formed a joint venture to expand into new markets.,102
Key (adj),kiː,crucial or essential,quan trọng,Time management is key to increasing productivity.,102
Launch (v),lɔːntʃ,to introduce or start,"ra mắt, khởi đầu",The company plans to launch its new product next month.,102
Leverage (v),ˈliːvərɪdʒ,to use something to maximum advantage,tận dụng,The company leveraged its strong brand reputation to expand into new markets.,102
Logistics (n),ləˈdʒɪstɪks,the management of the flow of goods,"vận chuyển, hậu cần",Efficient logistics is crucial for timely product delivery.,102
Loss (n),lɒs,a negative financial outcome,thiệt hại,The company reported a loss in revenue due to decreased sales.,102
Loyalty (n),ˈlɔɪəlti,allegiance or faithfulness,lòng trung thành,Customer loyalty is essential for building a strong customer base.,102
Market (n),ˈmɑːrkɪt,a place where goods are bought and sold,thị trường,The company conducted market research to understand customer preferences.,102
Merger (n),ˈmɜːrdʒər,the combination of two companies into one,sáp nhập,The merger between the two companies created a stronger entity.,102
Motivation (n),ˌmoʊtɪˈveɪʃən,the reason or drive behind an action,động lực,Employee motivation is essential for productivity and job satisfaction.,102
Multinational (adj),ˌmʌltiˈnæʃənl,operating in multiple countries,"đa quốc gia, đa quốc tịch",The multinational corporation has offices worldwide.,102
Negotiation (n),nɪˌɡoʊʃiˈeɪʃən,discussion to reach an agreement,đàm phán,The negotiation between the two parties led to a fair contract.,102
Networking (n) ,ˈnɛtwɜrkɪŋ,building relationships for professional purposes,"mạng lưới, liên kết",Business networking events offer opportunities to connect with potential clients.,102
Organization (n),ˌɔːrɡənaɪˈzeɪʃən,a structured group with a common purpose,tổ chức,The nonprofit organization works to support environmental conservation.,102
outsource (v),ˈaʊtˌsɔːrsɪŋ,contracting tasks to external companies,thuê ngoài,The company decided to outsource its IT support to reduce costs.,102
Ownership (n),ˈoʊnərˌʃɪp,possession or control of something,sở hữu,The ownership of the company changed after the acquisition.,102
Partnership (n),ˈpɑːrtnərˌʃɪp,a business association between two or more individuals,"đối tác, cộng tác",The two companies formed a partnership to enter a new market together.,102
Profit (n),ˈprɒfɪt,financial gain or benefit,lợi nhuận,The company reported a significant increase in profits this year.,102
Productivity (n),ˌproʊdʌkˈtɪvəti,the efficiency of production,"năng suất, hiệu suất",Improving employee productivity is a priority for the company.,102
Promotion (n),prəˈmoʊʃən,the act of advertising or selling,"khuyến mãi, quảng cáo",The company launched a new promotion to attract more customers.,102
price (n/v),ˈpraɪsɪŋ,the method of setting prices,"định giá, giá cả",The pricing strategy can significantly impact sales and revenue.,102
Project (n),ˈprɒdʒekt,a planned endeavor or task,dự án,The construction project will be completed by the end of the year.,102
Payment (n),ˈpeɪmənt,the act of giving money for goods or services,thanh toán,Please make the payment before the due date.,102
Quality (n),ˈkwɒləti,standard or grade,chất lượng,The company is known for its high-quality products.,102
Quantity (n),ˈkwɒntɪti,amount or volume,số lượng,The store offers discounts for purchasing large quantities.,102
Quarter (n),ˈkwɔːrtər,one-fourth or a period of three months,quý,The company's sales increased in the last quarter of the year.,102
Recession (n),rɪˈseʃn,a period of economic decline,suy thoái kinh tế,The country is facing a recession due to the global economic downturn.,102
Regulation (n),ˌrɛɡjəˈleɪʃən,a rule or directive,"quy định, quy chế",The government introduced new regulations to protect consumers.,102
Revenue (n),ˈrɛvənjuː,income or earnings,doanh thu,The company's revenue increased by 10% this quarter.,102
Risk (n/v),rɪsk,a chance of loss or harm,"rủi ro, nguy cơ",The investment carries a certain level of risk.,102
Rival (n),ˈraɪvəl,a competitor or opponent,"đối thủ, đối thượng",The company's rival launched a new product to compete in the market.,102
Recruitment (n),rɪˈkruːtmənt,the process of hiring,tuyển dụng,The HR department is responsible for recruitment and selection.,102
Retail (n),ˈriːteɪl,the sale of goods to consumers,bán lẻ,The company operates both wholesale and retail businesses.,102
Return (n/v),rɪˈtɜːrn,the profit from an investment,"lợi nhuận, sinh lời",The investment offered a high rate of return.,102
Resources (n),ˈriːsɔːrsɪz,"assets, funds, or materials",tài nguyên,The company invested in new resources to expand its production capacity.,102
Salary (n),ˈsæləri,a fixed regular payment for work,lương,The company offers competitive salaries to attract skilled employees.,102
Sales (n),seɪlz,revenue generated from selling goods or services,doanh số bán hàng,The sales of the new product exceeded expectations.,102
Savings (n),ˈseɪvɪŋz,money set aside for future use,tiền tiết kiệm,He used his savings to invest in a new business venture.,102
Shareholders (n),ˈʃeəˌhoʊldərz,individuals or entities that own shares in a company,cổ đông,The company's shareholders have the right to vote on major decisions.,102
Start-up (n/adv),ˈstɑːrtˌʌp,a newly established business,doanh nghiệp khởi nghiệp,The start-up received funding from investors to develop its product.,102
Stock (n/v),stɑːk,shares of ownership in a company,cổ phiếu,She invested in the company's stock and earned dividends.,102
Strategy (n),ˈstrætədʒi,a plan of action to achieve a goal,chiến lược,The marketing strategy helped the company increase its market share.,102
Supplier (n),səˈplaɪər,a person or company that provides goods or services,nhà cung cấp,The company switched to a new supplier to improve product quality.,102
Target (n),ˈtɑːrɡɪt,a goal or objective,mục tiêu,The company set a sales target for the quarter.,102
Tax (n),tæks,a mandatory financial charge,thuế,Businesses must pay taxes to the government.,102
Transaction (n),trænˈzækʃən,a business deal or exchange,giao dịch,The company recorded every transaction in the ledger.,102
Tariff (n),ˈtærɪf,a tax on imported or exported goods,thuế quan,The government imposed a new tariff on imported goods.,102
Trade (n/v),treɪd,the buying and selling of goods and services,thương mại,International trade has led to economic growth in many countries.,102
transaction fee (n),trænˈzækʃən fiː,a charge for a financial transaction,phí giao dịch,The bank charges a transaction fee for using ATMs from other networks.,102
target market (n),ˈtɑːrɡɪt ˈmɑrkɪt,a specific group of customers,thị trường mục tiêu,The company's target market is young professionals aged 25-35.,102
tax evasion (n),tæks ɪˈveɪʒən,illegal avoidance of paying taxes,trốn thuế,The businessman was arrested for tax evasion.,102
User (n),ˈjuːzər,a person who uses a product or service,người dùng,The software is designed to be user-friendly for beginners.,102
Upgrade (n/v),ˈʌpˌɡreɪd,to improve or enhance,nâng cấp,The company decided to upgrade its computer systems for better performance.,102
Value (n),ˈvæljuː,the worth of something,giá trị,The company's core values focus on customer satisfaction and quality.,102
Vision (n),ˈvɪʒən,a clear mental image of the future,tầm nhìn,The CEO's vision for the company's growth inspired the team.,102
Venue (n),ˈvɛnjuː,a location for an event or gathering,địa điểm tổ chức,The conference venue is a modern convention center.,102
Wage (n) ,weɪdʒ,payment for work done,tiền công,The company increased the minimum wage for its employees.,102
Wholesale (n/adj/adv),hoʊlˈseɪl,selling goods in large quantities,bán buôn,The company supplies products to retail stores at wholesale prices.,102
Workforce (n),ˈwɜrkˌfɔːrs,employees or labor pool,lực lượng lao động,The company's workforce is diverse and highly skilled.,102
Workplace (n),ˈwɜrklˌpleɪs,location where work is done,nơi làm việc,The new office provides a modern and comfortable workplace.,102
Workshop (n),ˈwɜrkʃɑːp,a meeting for discussion or training,hội thảo,The company organized a workshop to improve employees' skills.,102
Account (n),/əˈkaʊnt/,"A record of financial transactions for an individual or organization, usually held by a bank.",Tài khoản ngân hàng,I need to check my bank account balance.,101
ATM (Automated Teller Machine) (n),/ˌeɪ.tiːˈem/,A machine that allows users to withdraw cash and perform basic banking transactions.,Máy rút tiền tự động,I'll stop by the ATM to get some cash.,101
Annual Fee,/ˈænjuəl fiː/,"A yearly charge by a credit card company to use their card, typically for maintenance and benefits.",Phí thường niên,I was charged an annual fee for my credit card.,101
Application (n),/ˌæplɪˈkeɪʃən/,A formal request or proposal submitted to an organization or authority for a particular purpose.,Đơn xin một việc gì đó,I submitted my loan application to the bank.,101
Authorization (n),/ˌɔː.θər.aɪˈzeɪ.ʃən/,"Permission or approval to do something, often required for financial transactions.",Sự cho phép,I need your authorization to access your account.,101
Balance (n),/ˈbæləns/,The amount of money in a bank account at a particular time.,Số dư tài khoản,I need to check my account balance.,101
Bankruptcy (n),/ˈbæŋkrəptsi/,A legal status of a person or business that cannot repay their debts.,Phá sản,The company filed for bankruptcy.,101
Bill (n),/bɪl/,A statement of money owed for goods or services.,Hóa đơn,I received a bill for my electricity.,101
Balance Sheet (n),/ˈbæləns ʃi:t/,"A financial statement that shows a company's assets, liabilities, and equity at a specific point in time",Bảng cân đối kế toán,The balance sheet provides an overview of the company's financial position.,101
Bank Statement,/bæŋk ˈsteɪtmənt/,A document provided by a bank that summarizes the transactions and balances in a bank account,Sao kê ngân hàng,I reviewed my bank statement to check for any unauthorized charges.,101
Borrow (v),/ˈbɑːroʊ/,To take money or something of value with the intention of returning it later.,"Mượn, vay",Can I borrow some money from you?,101
Branch (n),/bræntʃ/,A local office or facility of a bank or other organization.,Chi nhánh,I'll visit the bank branch near my house.,101
Currency (n),/ˈkʌr.ən.si/,The system of money used in a particular country.,Tiền tệ,The local currency is the euro.,101
Credit (n),/ˈkredɪt/,"The ability to obtain goods or services before payment, based on the trust that payment will be made in the future.",Tín dụng,"I have good credit, so I can get a loan.",101
Charge (n),/ʧɑːrdʒ/,The amount of money that is asked for goods and services.,"Phí, giá",What's the charge for this service?,101
Customer (n),/ˈkʌstəmər/,A person or organization that buys goods or services from a shop or business.,Khách hàng,The bank values its customers.,101
Deposit (n),/dɪˈpɒzɪt/,"A sum of money placed or kept in a bank account, usually to gain interest.",Tiền gửi,I made a deposit of $500 into my savings account.,101
Debit Card (n),/ˈdebɪt kɑːrd/,"A card that allows the holder to transfer money electronically when making a purchase, deducting the money directly from their bank account.",Thẻ ghi nợ,I used my debit card to pay for the groceries.,101
Depreciation (n),/dɪˌpriːʃiˈeɪʃən/,A decrease in the value of an asset over time due to wear and tear or obsolescence,Sự khấu hao,Depreciation is recorded as an expense on the income statement.,101
Dividend (n),/ˈdɪvɪdend/,A sum of money paid regularly (typically quarterly) by a company to its shareholders out of its profits.,"Cổ tức, lợi tức",I received a dividend from my stock investments.,101
Equity (n),/ˈekwəti/,The value of an asset after deducting any debts or liabilities associated with it; ownership interest in a company.,"Vốn chủ sở hữu, cổ phần",The equity in our home has increased over the years.,101
Exchange Rate (n),/ɪksˈtʃeɪndʒ ˌreɪt/,"The value of one currency in terms of another, used for international trading and foreign exchange.",Tỷ giá hối đoái,The exchange rate between the US dollar and Euro is favorable for travelers.,101
Expense (n),/ɪkˈspens/,The cost incurred in the process of generating revenue,Chi phí,Salaries and rent are examples of operating expenses.,101
Expenditure (n),/ɪkˈspendɪtʃər/,"The action of spending funds, or an amount of money spent on something.","Sự chi tiêu, khoản chi","Our monthly expenditures include rent, groceries, and utilities.",101
Finance (n),/faɪˈnæns/,"The management of money, banking, investments, and credit.",Tài chính,She works in finance and helps clients with their investment portfolios.,101
Fraud (n),/frɔːd/,"Deception or trickery, usually for financial gain.",Vụ lừa đảo,The bank detected fraud in the customer's account and alerted them immediately.,101
Financial Institution,/faɪˈnænʃəl ˌɪn.stəˈtuː.ʃən/,"A company or organization that provides financial services to customers, such as banks and credit unions.",Tổ chức tài chính,The local financial institution offers competitive interest rates on savings accounts.,101
Fixed Rate (n),/fɪkst reɪt/,An interest rate that remains constant for the entire term of a loan or financial product.,Lãi suất cố định,A fixed-rate mortgage provides stability because the interest rate does not change.,101
Guarantee (n),/ˌɡærənˈtiː/,"A promise or assurance that something will be done or will happen, often in the context of loans or obligations.",Bảo lãnh,"The bank requires a guarantee for the loan, such as collateral or a co-signer.",101
Gross Income (n),/ɡroʊs ˈɪnkʌm/,The total income earned before any deductions or taxes are taken out.,Thu nhập gộp,"His gross income for the year was $60,000 before taxes were deducted.",101
Grant (n),/ɡrænt/,"Money provided by an organization or government for a specific purpose, often without the need for repayment.",Khoản hỗ trợ tài chính,She received a grant to support her research project.,101
Interest Rate (n),/ˈɪntrest reɪt/,"The cost of borrowing money or the return on investment, expressed as a percentage of the principal amount.",Lãi suất,The bank increased its interest rates on savings accounts.,101
Investment (n),/ɪnˈvestmənt/,"The act of putting money or capital into a project, business, or financial scheme with the expectation of achieving a profit.",Khoản đầu tư,She made a wise investment by purchasing stocks in that company.,101
Installment (n),/ɪnˈstɔ:lmənt/,"A regular payment made to pay off a debt or purchase over a fixed period, often consisting of both principal and interest.",Khoản trả góp,He pays his car loan in monthly installments.,101
Insurance (n),/ɪnˈʃʊə.rəns/,"A financial arrangement that provides protection or reimbursement in the event of loss, damage, illness, or death.",Bảo hiểm,Health insurance can help cover medical expenses in case of illness or injury.,101
Loan (n),/loʊn/,A sum of money that is borrowed and is expected to be paid back with interest.,Khoản vay,He took out a loan from the bank to buy a new car.,101
Lender (n),/ˈlendər/,"An individual, financial institution, or organization that lends money to borrowers.",Người cho vay,The lender approved the mortgage application.,101
Liability (n),/ˌlaɪəˈbɪləti/,The legal obligation to settle a debt or financial responsibility.,Nghĩa vụ thanh toán,"The company's liabilities exceeded its assets, leading to financial difficulties.",101
Non-profit (adj),/ˌnɒnˈprɒf.ɪt/,An organization or institution that does not operate for the purpose of making a profit.,Phi lợi nhuận,The charity is a non-profit organization dedicated to helping the homeless.,101
Nominal Interest Rate (n),/ˈnɑː.mə.nəl ˈɪntrest reɪt/,"The stated interest rate on a loan or investment, not taking into account inflation or compounding.","Lãi suất trên danh nghĩa, không tính lạm phát","The nominal interest rate on the bond was 5%, but inflation reduced its real return.",101
Portfolio (n),/ˌpɔ:rtˈfoʊliˌoʊ/,A collection of financial investments.,Danh mục đầu tư,"Her investment portfolio includes stocks, bonds, and real estate.",101
Payment (n),/ˈpeɪmənt/,The act of giving money for goods or services.,Thanh toán,I made a payment for my monthly bills online.,101
Profit (n),/ˈprɒfɪt/,Money gained from a business or investment.,Lợi nhuận,The company reported a significant profit in the last quarter.,101
Penalty (n),/ˈpenəlti/,A punishment or fine for not following rules or agreements.,"Vi phạm, khoản tiền phạt",There is a penalty for late payment of the loan installment.,101
Overdraft (n),/ˈoʊvəˌdræft/,A deficit in a bank account caused by drawing more money than the account holds.,Thấu chi,He was charged an overdraft fee because he withdrew more money than he had in his account.,101
Transaction (n),/trænˈzækʃən/,An instance of buying or selling something; a business deal.,Giao dịch,I need to check my bank statement to see if the transaction went through.,101
Transfer (v),/ˈtrænsfər/,To move something from one place or account to another.,"Chuyển khoản, chuyển tiền",He transferred money from his savings account to his checking account.,101
Term deposit (n),/tɜːrm dɪˈpɑːzɪt/,A fixed-term savings deposit with a set interest rate.,Tiền gửi có kỳ hạn,She put her money into a term deposit to earn a higher interest rate.,101
Retail Banking (n),/ˈriːteɪl ˈbæŋkɪŋ/,"Banking services provided directly to consumers, such as savings accounts, loans, and credit cards.",Nghiệp vụ ngân hàng lẻ,Retail banking focuses on individual customers' financial needs.,101
Risk Assessment (n),/’rɪsk əˈsesmənt/,The process of evaluating potential risks associated with lending or investment.,Đánh giá rủi ro,Risk assessment is a critical step before approving a loan application.,101
Retirement Fund,/rɪˈtaɪəmənt fʌnd/,A savings account or investment specifically designated for retirement.,Quỹ hưu trí,Contributing to a retirement fund is essential for financial security in old age.,101
Yield (n),/jiːld/,The income earned from an investment or savings account.,"Thu nhập, lợi suất",The yield on the government bonds is currently 3%.,101
Savings Account (n),/ˈseɪvɪŋz əˈkaʊnt/,"A bank account where you can deposit and save money, typically earning interest.",Tài khoản tiết kiệm,I opened a savings account to save money for a future vacation.,101
Security (n),/sɪˈkjʊərəti/,Measures taken to protect the safety of financial transactions and data.,Bảo mật,Online banking systems have robust security measures in place.,101
Stock Market (n),/stɒk ˈmɑːkɪt/,A marketplace for buying and selling stocks or shares of publicly-traded companies.,Thị trường chứng khoán,Investors closely monitor the stock market for potential opportunities.,101
Withdraw (v),/wɪðˈdrɔː/,To take money out of a bank account,Rút tiền khỏi tài khoản ngân hàng,I need to withdraw some cash from the ATM.,101
Wallet (n),/ˈwɒlɪt/,"A small, flat case for holding money, credit cards, and other personal items","Một chiếc ví nhỏ phẳng để đựng tiền, thẻ tín dụng và các đồ cá nhân khác",I keep my driver's license and credit cards in my wallet.,101
Wealth (n),/welθ/,The abundance of valuable possessions or money,Sự giàu có,His wealth allowed him to live a luxurious life.,101
Warranty (n),/ˈwɒrənti/,A written guarantee that a product will be repaired or replaced if it has a fault within a certain period,"Bảo hành, cam kết",The smartphone comes with a one-year warranty.,101
Withholding Tax (n),/wɪðˈhoʊldɪŋ tæks/,A portion of an individual's income that is withheld by an employer and sent directly to the government as a prepayment of income taxes,Thuế nhà thầu,Withholding tax is deducted from your salary before you receive it.,101
Advertisement  (n),ˌæd.vɚˈtaɪz.mənt,"A notice, picture, or film telling people about a product, job, or service",Quảng cáo,The company placed an advertisement in the newspaper.,105
Annual Sale (collocation),ˈæn.ju.əl seɪl,A sale that happens once a year,Đợt giảm giá hàng năm,The store attracts a large crowd during its annual sale.,105
After-sales (adj),ˈæf.tər seɪlz,Activities and services provided by a company after a product has been sold,Dịch vụ hậu mãi (sau bán hàng),"Their after-sales support is excellent, always addressing customer issues.",105
Acquisition (n),ˌæk.wɪˈzɪʃ.ən,The process of getting something,"Sự mua lại, thâu tóm",The company's acquisition of a smaller competitor was strategic.,105
Bargain (n),ˈbɑː.ɡɪn,An agreement between two or more people or groups in which each side gives something,"Sự mặc cả, giá thấp hơn thường lệ",We managed to strike a bargain and get a good deal on the product.,105
Brand (n),brænd,"A type of product made by a particular company, with a particular name or design",Thương hiệu,The new brand of smartphones has gained popularity quickly.,105
Business-to-Business (B2B) (adj),ˌbɪz.nɪs.təˈbɪz.nɪs,The sale of products or services between businesses rather than between a business and the general public,Bán hàng giữa các doanh nghiệp,B2B transactions are common in the manufacturing industry.,105
Boost (v),buːst ,To increase the number of products or services sold,"Tăng, thúc đẩy",The marketing campaign boosted sales significantly.,105
Customer (n),ˈkʌs.tə.mər,Someone who buys goods or services from a shop,Khách hàng,Our goal is to provide excellent service to our customers.,105
Commission (n),kəˈmɪʃ.ən,An amount of money paid to someone who sells goods,(Tiền) hoa hồng,Salespeople earn a commission for each product they sell.,105
Client (n),ˈklaɪ.ənt,A person or organization that uses the services or advice of a professional or company,"Khách hàng, đối tác",Our clients appreciate the personalized solutions we provide.,105
Consumer (n),kənˈsjuː.mər,A person who buys goods or services for their own use,Người tiêu dùng,Consumer preferences play a significant role in product design.,105
Deal (n),diːl,"An agreement or arrangement, especially in business","Giao kèo, thỏa thuận",We closed a major deal with the new client yesterday.,105
Discount (n),ˈdɪs.kaʊnt,A reduction in the usual price of something,Giảm giá,The store is offering a special discount on selected items.,105
Demand (n),dɪˈmænd,The desire and ability to purchase goods and services,Nhu cầu,The demand for this product has been steadily increasing.,105
Distributor (n),dɪˈstrɪb.jə.tər,A person or company that supplies goods to stores and other businesses,Nhà phân phối,The distributor ensures that products reach various retailers.,105
E-commerce (n),ˌiːˈkɒm.ɜːs,Buying and selling goods and services online,Thương mại điện tử,E-commerce has become increasingly popular in recent years.,105
Exclusive (adj),ɪkˈskluː.sɪv,Limited to only one person or group,Độc quyền,The company offers exclusive deals to its premium customers.,105
Expand (v),ɪkˈspænd,To increase in size or scope,Mở rộng,The business aims to expand its market share in the coming year.,105
Exceed (v),ɪkˈsiːd,To go beyond or surpass a limit or expectation,Vượt qua,Our sales performance this quarter exceeded expectations.,105
Forecast (v),ˈfɔː.kɑːst,To predict or estimate future trends or sales,Dự đoán,The company uses market research to forecast sales for the year.,105
Feedback (n),ˈfiːd.bæk,"Information about reactions to a product, service, or performance",Phản hồi,Customer feedback is essential for improving our products.,105
Feature (n),ˈfiː.tʃər,A distinctive attribute or aspect of a product,Đặc điểm,The new smartphone has advanced features that set it apart.,105
Franchise (n),ˈfræn.tʃaɪz,"A legal and commercial relationship between the owner of a trademark, brand, or trade name",Nhượng quyền,The company decided to expand through a franchise model.,105
Generate (v),ˈdʒen.ə.reɪt,To produce or create,Tạo ra,The marketing campaign aims to generate more leads for the company.,105
Gross Profit (n),ɡroʊs ˈprɒf.ɪt,The total revenue minus the cost of goods sold,Lợi nhuận gộp,The company increased its gross profit through effective cost control.,105
Guarantee (n) (v),ˌɡær.ənˈtiː,"A promise or assurance, typically regarding the quality of a product",Bảo hành,The product comes with a 30-day money-back guarantee.,105
Growth (n),ɡrəʊθ,"An increase in size, quantity, or value",Sự phát triển,The company experienced rapid growth in its sales last quarter.,105
Goods (n),ɡʊdz,Products or items for sale,Hàng hóa,"The store offers a wide range of goods, from clothing to electronics.",105
High-end (adj),ˌhaɪˈend,Referring to products of superior quality or sophistication,Cao cấp,The company specializes in high-end fashion and luxury goods.,105
Knockdown (adj),ˈnɒk.daʊn,"Cheap, or reduced in price by a lot",Giảm giá,The store is offering a knockdown price on last season's inventory.,105
KPI (Key Performance Indicator) (n),keɪ piː aɪ,Metrics used to evaluate the success of an organization or a particular activity,Chỉ số hiệu suất ,The company set KPIs to measure the effectiveness of its sales strategy.,105
Loyalty (n),ˈlɔɪ·əl·ti,A customer's commitment to a brand or company,Sự trung thành,The company offers a loyalty program to reward repeat customers.,105
Leverage (v),ˈlev.ɚ.ɪdʒ,The use of various tools or techniques to maximize effectiveness,Tận dụng,The sales team leveraged social media to reach a broader audience.,105
Merchandise (n),ˈmɜː.tʃən.daɪz,Goods or products available for sale,Hàng hóa,The store has a wide range of merchandise to attract customers.,105
Marketing (n),ˈmɑː.kɪ.tɪŋ,Activities associated with promoting and selling products or services,Tiếp thị,The success of a product often depends on effective marketing.,105
Margin (n),ˈmɑː.dʒɪn,The difference between the cost price and the selling price,Lợi nhuận,Businesses aim to maximize their profit margins to stay competitive.,105
Market share (n),ˈmɑː.kɪt ˌʃeər,The portion of a market controlled by a particular company or product,Thị phần,The company worked to increase its market share through strategic campaigns.,105
Motivate (v),ˈməʊ.tɪ.veɪt,To provide someone with a reason to do something,"Thúc đẩy, tăng",Offering bonuses can motivate the sales team to achieve higher targets.,105
Negotiation (n),nəˌɡəʊ.ʃiˈeɪ.ʃən,Discussion aimed at reaching an agreement,Đàm phán,Successful negotiation skills are crucial in closing business deals.,105
Needs (n),nidz,The essential things that people must have or achieve,Nhu cầu để thỏa mãn,Understanding customer needs is key to providing effective solutions.,105
Networking (n),ˈnet.wɜː.kɪŋ,"Building and maintaining relationships, especially to advance one's career",Mạng lưới,Networking events allow professionals to connect and expand their contacts.,105
Niche market (n),ˈniːʃ ˌmɑː.kɪt,"A small, specialized segment of the market",Thị trường ngách,The company targets a niche market with unique and specialized products.,105
Outreach (adj),ˈaʊt.riːtʃ,Efforts to reach and connect with a wider audience,"Mở rộng, tiếp cận",The company's outreach strategy increased its customer base.,105
Offer (n),ˈɒf.ər,Proposal or expression of willingness to do something,"Đề xuất, ưu đãi",The special offer attracted a lot of customers to the store.,105
Opportunity (n),ˌɒp.əˈtʃuː.nə.ti,A set of circumstances that makes it possible to do something,Cơ hội,Recognizing opportunities is crucial for business success.,105
Outperform (v),ˌaʊt.pəˈfɔːm,To perform better than others,Vượt trội hơn,The new product outperformed competitors in terms of sales.,105
Target (n),ˈtɑː.ɡɪt,A specific goal or objective,Mục tiêu,The marketing team set a high sales target for the next quarter.,105
Transaction (n),trænˈzæk.ʃən,An instance of buying or selling,Giao dịch,The online platform recorded a large number of transactions.,105
Turnover (n),ˈtɜːnˌəʊ.vər,The total sales or revenue generated by a company,Doanh số bán hàng,The company's turnover increased significantly last year.,105
Target Audience (n),ˈtɑː.ɡɪt ˈɔː.di.əns,A specific group of people that a business aims to reach,Đối tượng khán giả mục tiêu,The advertisement was designed to appeal to the target audience.,105
